,Name,City,State,Zip,Type Detailed*,Current Guaranteed Minimum,Average Daily Population,current_as_of
281,"CALIF. MEN COLONY, EAST",SAN LUIS OBISPO,CA,93409,Other,,0,2021-01-07
282,"CALIF. MEN COLONY, WEST",SAN LUIS OBISPO,CA,93409,Other,,0,2021-01-07
283,CALIFORNIA CITY CORRECTIONAL CENTER,CALIFORNIA CITY,CA,93505,CDF,,19,2025-09-15
284,CALIFORNIA CITY IMMIGRATION PROCESSING CENTER,CALIFORNIA CITY,CA,93505,CDF,"2,560",712,2025-11-10
285,CALIFORNIA STATE,CORCORAN,CA,93212,IGSA,,0,2021-01-07
286,CALIPATRIA STATE,CALIPATRIA,CA,92233,Other,,0,2021-01-07
287,CALLAWAY COUNTY JAIL,FULTON,MO,65251,IGSA,,0,2021-01-07
288,CAMBRIA COUNTY JAIL,EBENSBURG,PA,15931,USMS IGA,,6,2021-10-01
289,"CAMBRIA COUNTY JAIL, PA",EBENSBURG,PA,15931,IGSA,,11,2025-11-10
290,CAMDEN COUNTY JAIL,CAMDEN,NJ,8101,IGSA,,0,2021-01-07
291,CAMERON COUNTY JAIL,BROWNSVILLE,TX,78520,IGSA,,0,2021-01-07
292,CAMINO A CASA - BAY CITY,BAY CITY,MI,48708,ORR,,0,2021-01-07
293,CAMINO A CASA - FARMINGTON HILLS,FARMINGTON HILLS,MI,48336,ORR,,0,2021-01-07
294,CAMP CHARLIE,SANDIA,TX,78383,ORR,,0,2021-01-07
295,CAMP DELTA,BRUCEVILLE,TX,76630,ORR,,0,2021-01-07
296,CAMP DODGE,JOHNSTON,IA,50131,IGSA,,0,2021-01-07
297,CAMP ECHO,CLEBURNE,TX,76033,ORR,,0,2021-01-07
298,CAMPBELL CO DET CTR,NEWPORT,KY,41071,USMS IGA,,136,2025-11-10
299,CAMPBELL COUNTY JAIL,GILLETTE,WY,82718,IGSA,,0,2021-01-07
300,CANADIAN COUNTY (EL RENO),EL RENO,OK,73036,IGSA,,0,2021-01-07
301,CANYON COUNTY JAIL - DALE G HAILE DET CEN,CALDWELL,ID,83605,IGSA,,0,2021-01-07
302,CARBON COUNTY CORRECTIONL,NESQUEHONING,PA,18240,IGSA,,0,2021-01-07
303,CARBON COUNTY JAIL,RAWLINS,WY,82301,IGSA,,0,2021-01-07
304,CARDINAL MCCLOSKEY,OSSINING,NY,10562,ORR,,0,2021-01-07
305,CARLSBAD JUV DET FAC,CARLSBAD,NM,88220,JUVENILE,,0,2021-01-07
306,CAROLINE DETENTION FACILITY,BOWLING GREEN,VA,22427,DIGSA,224,353,2025-11-10
307,CARRIZO SPRINGS SHELTER,CARRIZO SPRINGS,TX,78834,ORR,,0,2021-01-07
308,CARROLL COUNTY DETENTION CENTER,WESTMINSTER,MD,21157,IGSA,,0,2021-01-07
309,CARSWELL FEDERAL MEDICAL CENTER,FORT WORTH,TX,76127,BOP,,0,2021-01-07
310,"CARTER COUNTY (ARDMORE, OKLAHOMA)",ARDMORE,OK,73401,IGSA,,0,2021-01-07
311,CARVER COUNTY JAIL,CHASKA,MN,55318,IGSA,,4,2021-10-01
312,CARVER COUNTY JUVENILE DETENTION CENTER,CHASKA,MN,55318,JUVENILE,,0,2021-01-07
313,CASA DE ESPERANZA,RICHMOND,VA,23294,ORR,,0,2021-01-07
314,CASA GRANDE REGIONAL MEDICAL CENTER,CASA GRANDE,AZ,85222,HOSPITAL,,0,2021-01-07
315,CASA GUADALUPE #2,DES PLAINES,IL,60016,ORR,,0,2021-01-07
316,CASA GUADALUPE #3,DES PLAINES,IL,60016,ORR,,0,2021-01-07
317,CASA HEARTLAND AT PRINCETON,CHICAGO,IL,60621,ORR,,2,2021-01-07
318,CASA HEARTLAND GUADALUPE,DES PLAINES,IL,60016,ORR,,0,2021-01-07
319,CASA SAN JUAN,SAN DIEGO,CA,92103,JUVENILE,,0,2021-01-07
320,CASCADE COUNTY JAIL (MONTANA),GREAT FALLS,MT,59404,USMS IGA,,1,2023-10-10
321,"CASCADE COUNTY JAIL, MT",GREAT FALLS,MT,59404,USMS IGA,,3,2025-11-10
322,CASEY HOUSE SHELTER,BUFFALO,NY,14301,JUVENILE,,0,2021-01-07
323,CASPER HOLDROOM,CASPER,WY,82601,HOLD,,0,2021-01-07
324,CASS COUNTY CORRECTIONAL FACILITY (IOWA),ATLANTIC,IA,50022,IGSA,,0,2021-01-07
325,CASS COUNTY JAIL,FARGO,ND,58107,IGSA,,0,2021-01-07
326,CASS COUNTY JAIL,PLATTSMOUTH,NE,68048,USMS IGA,,25,2025-11-10
327,CATAHOULA CORRECTIONAL CENTER,HARRISONBURG,LA,71430,IGSA,,0,2023-11-13
328,CATHOLIC CHARITIES (HOUSTON),HOUSTON,TX,77006,ORR,,11,2021-01-07
329,CATHOLIC CHARITIES - FCP,MIAMI SPRINGS,FL,33012,ORR,,0,2021-01-07
330,CATHOLIC CHARITIES - SANTA CLARA COUNTY,SAN JOSE,CA,95134,ORR,,0,2021-01-07
331,CATHOLIC COMMUNITY SERVICES - PHO,PHOENIX,AZ,85013,ORR,,5,2021-01-07
332,CATHOLIC COMMUNITY SERVICES - TACOMA,TACOMA,WA,98405,ORR,,6,2021-01-07
333,CATHOLIC FAMILY CENTER,ROCHESTER,NY,14604,ORR,,6,2021-01-07
334,CATHOLIC GUARDIAN SERVICES,BRONX,NY,10453,ORR,,15,2021-01-07
335,CATHOLIC GUARDIAN SVCS - CROTONA,BRONX,NY,10462,ORR,,4,2021-01-07
336,CATHOLIC HOME,MIAMI,FL,33157,ORR,,0,2021-01-07
337,CATHOLIC SOCIAL SERVICES,PHOENIX,AZ,85021,ORR,,0,2021-01-07
338,CATTARAUGUS COUNTY JAIL,LITTLE VALLEY,NY,14755,IGSA,,0,2021-01-07
339,CAYUGA CENTERS,BRONX,NY,10451,ORR,,54,2021-01-07
340,CAYUGA COUNTY JAIL,AUBURN,NY,13021,IGSA,,0,2021-01-07
341,CBP CHULA VISTA BPS,SAN DIEGO,CA,92154,Other,,0,2021-11-30
342,CBP SAN YSIDRO POE,SAN YSIDRO,CA,92173,Other,,3,2023-05-30
343,CC FAMILY & YOUTH SERVICE,LAS VEGAS,NV,89101,JUVENILE,,0,2021-01-07
344,CC FORT WORTH SHELTER,FORT WORTH,TX,76115,ORR,,10,2021-01-07
345,CCA CENTRAL ARIZONA DETENTION CENTER,FLORENCE,AZ,85132,USMS IGA,,0,2021-01-07
346,"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,85132,USMS IGA,,378,2025-03-17
347,"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,85232,USMS CDF,,578,2025-11-10
348,"CCA, Florence Correctional Center",Florence,AZ,85232,USMS IGA,,371,2024-04-15
349,CCF/LEO CHESNEY,LIVE OAK,CA,95953,Other,,0,2021-01-07
350,CDC CALIPATRIA IHP,CALIPATRIA,CA,92233,IGSA,,0,2021-01-07
351,CEDAR COUNTY JAIL,HARTINGTON,NE,68739,IGSA,,0,2021-01-07
352,CEDAR CREST HOSP TREAT,BELTON,TX,76513,Other,,0,2021-01-07
353,CEDAR RAPIDS HOLD ROOM,CEDAR RAPIDS,IA,52401,HOLD,,0,2021-01-07
354,CEDARS MEDICAL CENTER,MIAMI,FL,33136,HOSPITAL,,0,2021-01-07
355,CENTEGRA HOSPITAL,WOODSTOCK,IL,60098,HOSPITAL,,0,2021-01-07
356,CENTER FOR FAMILY SERVICES,BURLINGTON,NJ,8016,ORR,,4,2021-01-07
357,CENTRAL ARIZONA MEDICAL,FLORENCE,AZ,85232,HOSPITAL,,0,2021-01-07
358,CENTRAL ISLIP HOLDING,CENTRAL ISLIP,NY,11722,HOLD,,0,2021-01-07
359,CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC),JENA,LA,71342,DIGSA,"1,170",1109,2025-11-10
360,CENTRAL REGIONAL JAIL,SUTTON,WV,26601,IGSA,,0,2021-01-07
361,CENTRAL TEXAS DETENTION FACILITY,SAN ANTONIO,TX,78207,USMS IGA,,0,2021-01-07
362,CENTRAL VA REGIONAL JAIL,ORANGE COUNTY,VA,22960,USMS IGA,,0,2023-06-26
363,CENTRAL VALLEY ANNEX,MCFARLAND,CA,93250,CDF,,0,2021-01-07
364,CENTRE COUNTY JAIL,BELLEFONTE,PA,16823,IGSA,,0,2021-01-07
365,CENTRO MEDICO HOSPITAL,SAN JUAN,PR,935,HOSPITAL,,0,2021-01-07
366,CERRITOS  COLLEGE HOSPITAL,CERRITOS,CA,90703,HOSPITAL,,0,2021-01-07
367,CHAFFEE COUNTY JAIL,SALIDA,CO,81201,IGSA,,0,2021-01-07
368,CHAMPLAIN HOLD ROOM,CHAMPLAIN,NY,12919,HOLD,,0,2021-01-07
369,CHARLES MIX COUNTY,LAKE ANDES,SD,57356,IGSA,,0,2021-01-07
370,CHARLESTON COUNTY DETENTION CENTER,NORTH CHARLESTON,SC,29405,USMS IGA,,0,2023-01-09
371,"CHARLESTON, SC HOLD ROOM",CHARLESTON,SC,29705,HOLD,,0,2021-01-07
372,CHARLOTTE AMALIE HOLDROOM,ST. THOMAS,VI,801,HOLD,,0,2021-01-07
373,CHARLOTTE COUNTY JAIL,PUNTA GORDA,FL,33982,IGSA,,0,2021-01-07
374,CHARLOTTE HOLD ROOM,CHARLOTTE,NC,28202,HOLD,,0,2021-01-07
375,CHASE COUNTY DETENTION FACILITY,COTTONWOOD FALLS,KS,66845,IGSA,,68,2023-09-18
376,CHASE COUNTY JAIL,COTTONWOOD FALL,KS,66845,IGSA,,109,2025-11-10
377,CHASE STE HOTEL ELP,EL PASO,TX,79925,Other,,0,2021-01-07
378,CHATHAM COUNTY JAIL,SAVANNAH,GA,31405,IGSA,,0,2021-01-07
379,CHATLIN HOUSE,HOLIDAY,FL,34691,ORR,,0,2021-01-07
380,CHATTANOOGA HOLD ROOM,CHATTANOOGA,TN,37450,HOLD,,0,2021-01-07
381,CHAUTAUQUA COUNTY JAIL,MAYVILLE,NY,14757,IGSA,,1,2021-01-07
382,CHAVEZ DETENTION CENTER,ROSWELL,NM,88201,USMS IGA,,1,2025-11-10
383,CHELAN COUNTY REGIONAL JUSTICE CENTER,WENATCHEE,WA,98801,USMS IGA,,0,2021-01-07
384,CHEMUNG COUNTY JAIL,ELMIRA,NY,14901,IGSA,,0,2021-01-07
385,CHEROKEE COUNTY JAIL,CENTRE,AL,35960,IGSA,,0,2021-01-07
386,CHEROKEE COUNTY JAIL,TAHLEQUAH,OK,74464,Other,,0,2021-01-07
387,CHEROKEE COUNTY JAIL (GEORGIA),CANTON,GA,30115,IGSA,,0,2021-01-07
388,CHEROKEE COUNTY SHERIFF'S OFFICE,CHEROKEE,IA,51012,IGSA,,0,2021-01-07
389,CHESTER COUNTY JAIL (PENNSYLVANIA),WEST CHESTER,PA,19380,IGSA,,0,2021-01-07
390,CHESTERFIELD CO. JAIL,Chesterfield,VA,23832,Other,,0,2023-03-20
391,CHEYENNE COUNTY DETENTION CENTER,SIDNEY,NE,69162,IGSA,,0,2021-01-07
392,CHEYENNE HOLDROOM,CHEYENNE,WY,82001,HOLD,,0,2021-01-07
393,CHICAGO MCC,CHICAGO,IL,60605,BOP,,0,2021-01-07
394,CHILD CRISIS ARIZONA,PHOENIX,AZ,85008,ORR,,18,2021-01-07
395,CHILDREN FIRST RESIDENTIAL CARE - SUNNYSIDE,HOUSTON,TX,77033,ORR,,6,2021-01-07
396,CHILDREN'S HOME OF KINGSTON,KINGSTON,NY,12401,ORR,,7,2021-01-07
397,CHILDREN'S HOME OF POUGHKEEPSIE,POUGHKEEPSIE,NY,12603,ORR,,0,2021-01-07
398,CHILDREN'S HOME SOCIETY FLORIDA,MELBOURNE,FL,32935,ORR,,0,2021-01-07
399,CHILDREN'S VILLAGE-STAFF SECURE,DOBBS FERRY,NY,10522,ORR,,1,2021-01-07
400,CHILDRENS CENTER INC.,GALVESTON,TX,77550,ORR,,0,2021-01-07
401,CHILDRENS CENTER-FOSTER CARE,GALVESTON,TX,77550,ORR,,0,2021-01-07
402,CHILDRENS VILLAGE,QUEENS,NY,11355,ORR,,33,2021-01-07
403,CHILDRENS VILLAGE - SHELTER,DOBBS FERRY,NY,10522,ORR,,0,2021-01-07
404,CHILDRENS VILLAGE - TGH,DOBBS FERRY,NY,10522,ORR,,3,2021-01-07
405,"CHIPPEWA CO., SSM",SAULT STE MARIE,MI,49783,IGSA,,11,2024-08-05
406,CHIPPEWA COUNTY SSM,SAULT SAINTE MARIE,MI,49783,IGSA,,11,2024-05-13
407,CHIPPEWA COUNTY SSM,SAULT STE MARIE,MI,49783,IGSA,,37,2025-11-10
408,CHIPPEWA REGIONAL-KINCHLOE,KINCHELOE,MI,49788,IGSA,,0,2021-01-07
409,CHITTENDEN REGIONAL CORRECTIONAL FACILITY,SOUTH BURLINGTON,VT,5403,USMS IGA,,6,2025-11-10
410,CHOUTEAU COUNTY JAIL,FORT BENTON,MT,59442,IGSA,,0,2021-01-07
411,CHRISTIAN COUNTY JAIL,HOPKINSVILLE,KY,42240,USMS IGA,,81,2025-11-10
412,CHRISTIAN COUNTY JAIL,OZARK,MO,65721,IGSA,"0.044,586",0,2022-03-07
413,CHS LOMA ALTA,BROWNSVILLE,TX,78526,ORR,,8,2021-01-07
414,CHSI STANFORD,LOS FRESNOS,TX,78566,ORR,,43,2021-01-07
415,CHSI TRAIL HOUSE,EL PASO,TX,79925,ORR,,32,2021-01-07
416,CIBOLA COUNTY CORRECTIONAL CENTER,MILAN,NM,87021,IGSA,,214,2025-11-10
417,CIBOLA COUNTY DETENTION CENTER,GRANTS,NM,87020,IGSA,,0,2021-01-07
418,CIMMARRON CORR FACILITY,CUSHING,OK,74023,USMS IGA,,548,2025-11-10
419,CINCINNATI HOLDROOM,CINCINNATI,OH,45242,HOLD,,0,2021-01-07
420,CITRUS COUNTY JAIL,LECANTO,FL,34461,IGSA,,0,2021-01-07
421,CLARION  COUNTY CORRECTIONS,SHIPPENVILLE,PA,16254,IGSA,,0,2021-01-07
422,CLARK COUNTY JAIL,DUBOIS,ID,47130,IGSA,,0,2021-01-07
423,CLARK COUNTY JAIL (ID),DUBOIS,ID,47130,IGSA,,0,2025-06-23
424,CLARK COUNTY JAIL (IN),JEFFERSONVILLE,IN,47130,USMS IGA,,92,2025-11-10
425,CLARK COUNTY JUVENILE,JEFFERSONVILLE,IN,47130,JUVENILE,,0,2021-01-07
426,CLARK COUNTY JUVENILE,VANCOUVER,WA,98660,JUVENILE,,0,2021-01-07
427,CLARKE COUNTY JAIL,VANCOUVER,WA,98666,IGSA,,0,2021-01-07
428,CLARKE COUNTY SHERIFF,OSCEOLA,IA,50213,IGSA,,0,2025-06-23
429,CLARKE FREDK WINCH.,WINCHESTER,VA,22603,IGSA,,0,2021-01-07
430,CLATSOP COUNTY JAIL,ASTORIA,OR,97103,IGSA,,0,2021-01-07
431,CLAY COUNTY,MOORHEAD,MN,56560,IGSA,,0,2021-01-07
432,CLAY COUNTY JAIL,BRAZIL,IN,47834,USMS IGA,,41,2024-05-13
433,CLAY COUNTY JAIL,GREENCOVE SPRING,FL,32043,IGSA,,0,2021-01-07
434,CLAY COUNTY JAIL,LIBERTY,MO,64068,IGSA,,0,2021-01-07
435,CLAY COUNTY JAIL,VERMILLION,SD,57069,IGSA,,0,2021-01-07
436,CLAY COUNTY JUSTICE CENTER,BRAZIL,IN,47834,USMS IGA,,239,2025-11-10
437,CLD HOME POUG NUEVAS ALAS,WEST PARK,NY,12493,ORR,,10,2021-01-07
438,CLEAR CREEK COUNTY JAIL,GEORGETOWN,CO,80444,IGSA,,0,2021-01-07
439,CLEARFIELD COUNTY JAIL,CLEARFIELD,PA,16830,IGSA,,0,2021-01-07
440,CLEVELAND HOLD ROOM,CLEVELAND,OH,44199,HOLD,,0,2021-01-07
441,CLINTON C.F. DANNEMMORA,DANNEMMORA,NY,12929,IGSA,,0,2021-01-07
442,CLINTON COUNTY CORR. FAC.,MCELHATTAN,PA,17748,USMS IGA,,59,2024-08-05
443,CLINTON COUNTY CORRECTIONAL FACILITY,LOCK HAVEN,PA,17745,USMS IGA,,64,2023-11-13
444,CLINTON COUNTY CORRECTIONAL FACILITY,MCELHATTAN,PA,17748,USMS IGA,,88,2025-11-10
445,CLINTON COUNTY JAIL,CLINTON,IA,52732,IGSA,,0,2021-01-07
446,CLINTON COUNTY JAIL,FRANKFORT,IN,46041,USMS IGA,,25,2025-11-10
447,CLINTON COUNTY JAIL,PLATTSBURGH,NY,12901,USMS IGA,,2,2025-11-10
448,COASTAL BEND DET. FACILITY,ROBSTOWN,TX,78380,USMS IGA,,4,2024-08-05
449,COASTAL BEND DETENTION FACILITY,ROBSTOWN,TX,78380,USMS IGA,,56,2025-11-10
450,COBB COUNTY JAIL,MARIETTA,GA,30060,IGSA,,1,2023-11-13
451,COCHISE COUNTY CHILD CENTER,HUACHUCA CITY,AZ,85616,JUVENILE,,0,2021-01-07
452,COCHISE COUNTY JAIL,BISBEE,AZ,85603,IGSA,,0,2021-01-07
453,COCONINO COUNTY DETENTION FACILITY,FLAGSTAFF,AZ,86001,USMS IGA,,0,2021-01-07
454,CODINGTON COUNTY,WATERTOWN,SD,57201,IGSA,,0,2021-01-07
455,COLEMAN FEDERAL CORRECTIONAL INSTITUTE,COLEMAN,FL,33521,BOP,,0,2021-01-07
456,COLES COUNTY JAIL,CHARLESTON,IL,61920,IGSA,,0,2021-01-07
457,COLFAX CO JAIL,SCHUYLER,NE,68661,IGSA,,0,2021-01-07
458,COLLIER COUNTY NAPLES JAIL CENTER,NAPLES,FL,34112,IGSA,,31,2025-11-10
459,COLO DEPARTMENT OF CORRECTIONS,COLO. SPGS,CO,80906,Other,,0,2021-01-07
460,COLO SPRINGS DEN HSI HOLD,COLORADO SPRINGS,CO,80903,HOLD,,0,2021-01-07
461,COLOMBIA COUNTY JAIL,HUDSON,NY,12543,IGSA,,0,2021-01-07
462,COLORADO MENTAL HEALTH INSTITUTE,PUEBLO,CO,81003,HOSPITAL,,0,2021-01-07
463,COLQUITT COUNTY JAIL,MOULTRIE,GA,31776,IGSA,,0,2021-01-07
464,COLUMBIA CARE CENTER,COLUMBIA,SC,29203,HOSPITAL,,10,2021-01-07
465,COLUMBIA COUNTY,BLOOMSBURG,PA,17815,USMS IGA,,0,2021-01-07
466,COLUMBIA COUNTY JAIL,LAKE CITY,FL,32025,IGSA,,0,2022-10-31
467,COLUMBIA COUNTY JAIL,SAINT HELENS,OR,97051,USMS IGA,,0,2021-01-07
468,COLUMBIA FALLS POLICE DEPARTMENT,COLUMBIA FALLS,MT,59912,IGSA,,0,2021-01-07
469,COLUMBIA KENDAL HOSPITAL,MIAMI,FL,33175,HOSPITAL,,0,2021-01-07
470,"COLUMBIA, SC HOLDROOM",COLUMBIA,SC,29201,HOLD,,0,2021-01-07
471,COLUMBUS HOLDROOM,COLUMBUS,OH,43215,HOLD,,0,2021-01-07
472,COMAL CITY JAIL,NEW BRAUNFELS,TX,78130,IGSA,,0,2021-01-07
473,COMFORT INN & SUITES - EL PASO,EL PASO,TX,79925,Other,,4,2021-10-01
474,COMFORT SUITES HOTEL,MIAMI,FL,33175,Other,,0,2021-01-07
475,COMFORT SUITES-CASA CONSUELO,EL PASO,TX,79925,FAMILY STAGING,,19,2021-11-30
476,COMMOJWEALTH CATHOLIC CHARITIES,RICHMOND,VA,23230,ORR,,4,2021-01-07
477,COMMONWEALTH CATHOL RICHMOND TFC,RICHMOND,VA,23229,ORR,,6,2021-01-07
478,COMP HLTH SVC-CASA NORMA LINDA,LOS FRESNOS,TX,78566,ORR,,74,2021-01-07
479,COMPASS HOUSE SHELTER,BUFFALO,NY,14209,JUVENILE,,0,2021-01-07
480,COMPHRENSIVE HLTH SVC-LOS FRESNOS,LOS FRESNOS,TX,78566,ORR,,21,2021-01-07
481,COMPREHENSIVE HLTH SVC-SAN BENITO,SAN BENITO,TX,78586,ORR,,17,2021-01-07
482,CONCORDIA PARISH C C,FERRIDAY,LA,71334,IGSA,,0,2021-01-07
483,CONEJOS COUNTY JAIL,ANTONITO,CO,81120,IGSA,,0,2021-01-07
484,CONTRA COSTA COUNTY JAIL,MARTINEZ,CA,94553,USMS IGA,,0,2021-01-07
485,CONTRA COSTA COUNTY JAIL WEST,RICHMOND,CA,94806,USMS IGA,,0,2021-01-07
486,CONVERSE COUNTY JAIL,DOUGLAS,WY,82633,IGSA,,0,2021-01-07
487,COOK COUNTY HOSPITAL,CHICAGO,IL,60612,HOSPITAL,,0,2021-01-07
488,COOK COUNTY HOSPITAL-JHS,CHICAGO,IL,60612,HOSPITAL,,0,2021-01-07
489,COOK INLET PRETRIAL (ANCHORAGE),ANCHORAGE,AK,99501,IGSA,,0,2021-01-07
490,COOKE COUNTY JAIL,GAINSVILLE,TX,76240,IGSA,,0,2021-01-07
491,COOS COUNTY,COQUILLE,OR,97423,IGSA,,0,2021-01-07
492,COOS COUNTY DEPARTMENT OF CORRECTIONS,WEST STEWARTSTOWN,NH,3597,USMS IGA,,0,2021-01-07
493,CORPUS CHRISTI FACILITY,CORPUS CHRISTI,TX,78412,ORR,,29,2021-01-07
494,CORR. CTR OF NORTHWEST OHIO,STRYKER,OH,43557,USMS IGA,,70,2025-11-10
495,"CORRECTIONAL CORPORATION OF AMERICA (JEFFERSON, OK",LEAVENWORTH,KS,66045,IGSA,,0,2021-01-07
496,CORRIGAN CORRECTIONAL INSTITUTE,UNCASVILLE,CT,6382,IGSA,,0,2021-01-07
497,CORTLAND COUNTY JAIL,CORTLAND,NY,13045,IGSA,,0,2021-01-07
498,CORYELL COUNTY JAIL,COPPERAS COVE,TX,76528,IGSA,,0,2021-01-07
499,COSTA MESA COLLEGE HOSPITAL,COSTA MESA,CA,92627,HOSPITAL,,0,2021-01-07
500,COSTILLA COUNTY JAIL,SAN LUIS,CO,81152,IGSA,,0,2021-01-07
501,COUNTY INN & STE BY RAD,PINEVILLE,LA,71360,Other,,0,2021-01-07
502,COURTHOUSE USM CNTL ISLIP,CENTRAL ISLIP,NY,11722,Other,,0,2021-01-07
503,COWLITZ COUNTY JAIL,KELSO,WA,98626,IGSA,,0,2021-01-07
504,COWLITZ COUNTY JUVENILE,LONGVIEW,WA,98632,JUVENILE,,3,2021-05-28
505,CRAIG HOLDROOM,CRAIG,CO,81625,HOLD,,0,2021-01-07
506,CRAWFORD COUNTY JAIL,DENISON,IA,51442,IGSA,,0,2021-01-07
507,"CRAWFORD COUNTY JAIL (GRAYLING, MICHIGAN)",GRAYLING,MI,49738,IGSA,,0,2021-01-07
508,CRITTENDEN SERVICES,FULLERTON,CA,92832,ORR,,14,2021-01-07
509,CRITTENTON - FOSTER FAMILY AGENCY,FULLERTON,CA,92836,ORR,,29,2021-01-07
510,CROW WING COUNTY JAIL,BRAINERD,MN,56401,USMS IGA,,4,2025-11-10
511,CROWNE PLAZA PHOENIX AP,PHOENIX,AZ,85034,Other,,0,2021-01-07
512,CRYSTAL CITY CORRECTIONAL CENTER,CRYSTAL CITY,TX,78839,USMS IGA,,0,2021-01-07
513,CSC SOUTH FULTON MUNICIPAL JAIL,UNION CITY,GA,30291,IGSA,,0,2021-01-07
514,CSP-SACRAMENTO,REPRESA,CA,95671,IGSA,,0,2021-01-07
515,CSP-SOLANO,VACAVILLE,CA,95696,IGSA,,0,2021-01-07
516,CTF-SOLEDAD,SOLEDAD,CA,93960,IGSA,,0,2021-01-07
517,CTR FAM SVS JUNTOS PRF,WOODBURY,NJ,8096,Other,,2,2021-05-28
518,CTR FAM SVS NORTHFIELD,NORTHFIELD,NJ,8225,ORR,,2,2021-01-07
519,CTR FAM SVS VOORHEES,VOORHEES,NJ,8043,ORR,,1,2021-01-07
520,CULBERSON COUNTY,VAN HORN,TX,79855,IGSA,,0,2021-01-07
521,CULPEPER COUNTY ADULT DETENTION CENTER,CULPEPER,VA,22701,IGSA,,0,2021-01-07
522,CUMBERLAND COUNTY DETENTION CENTER,FAYETTEVILLE,NC,28301,IGSA,,0,2021-01-07
523,CUMBERLAND COUNTY JAIL,PARIS,IL,61944,IGSA,,0,2021-01-07
524,CUMBERLAND COUNTY JAIL,PORTLAND,ME,4102,USMS IGA,,61,2025-11-10
525,CUMBERLAND FEDERAL CORRECTIONAL INSTITUTE,CUMBERLAND,MD,21502,BOP,,0,2021-01-07
526,CURRY COUNTY DETENTION FACILITY,CLOVIS,NM,88101,IGSA,,0,2021-01-07
527,CUSTER COUNTY JAIL,MILES CITY,MT,59301,IGSA,,0,2021-01-07
528,Calhoun County Correctional Center,Battle Creek,MI,49014,IGSA,75,128,2024-04-15
529,Caroline Detention Facility,Bowling Green,VA,22427,DIGSA,224,252,2024-04-15
530,"Cca, Florence Correctional Center",Florence,AZ,85232,USMS IGA,,367,2024-02-05
531,Central Louisiana ICE Processing Center (CLIPC),Jena,LA,71342,DIGSA,"1,170",1039,2024-04-15
532,Central Louisiana Ice Processing Center (CLIPC),Jena,LA,71342,DIGSA,"1,170",1025,2024-03-18
533,Central Louisiana Ice Processing Center (clipc),Jena,LA,71342,DIGSA,"1,170",1010,2024-02-05
534,Chase County Jail,Cottonwood Fall,KS,66845,IGSA,,77,2024-04-15
535,Chippewa County SSM,Sault Sainte Marie,MI,49783,IGSA,,12,2024-04-15
536,Chippewa County Ssm,Sault Sainte Marie,MI,49783,IGSA,,12,2024-03-18
537,Chittenden Regional Correctional Facility,South Burlington,VT,5403,USMS IGA,,2,2024-04-15
538,Cibola County Correctional Center,Milan,NM,87021,IGSA,,182,2024-04-15
539,ClINTON COUNTY CORRECTIONAL,MCELHATTAN,PA,17748,USMS IGA,,76,2025-01-06
540,Clay County Jail,Brazil,IN,47834,USMS IGA,,36,2024-04-15
541,Clinton County Correctional Facility,Lock Haven,PA,17745,USMS IGA,,61,2024-02-05
542,Clinton County Correctional Facility,Mcelhattan,PA,17748,USMS IGA,,58,2024-04-15
543,Clinton County Jail,Plattsburgh,NY,12901,USMS IGA,,2,2024-04-15
544,Clinton County Jail***,Plattsburgh,NY,12901,USMS IGA,,2,2024-04-01
545,Coastal Bend Detention Facility,Robstown,TX,78380,USMS IGA,,5,2024-04-01
546,Cobb County Jail,Marietta,GA,30060,IGSA,,2,2023-11-27
547,Collier County Naples Jail Center,Naples,FL,34112,IGSA,,8,2024-04-15
548,Cumberland County Jail,Portland,ME,4102,USMS IGA,,3,2024-04-15
549,D. RAY JAMES PRISON,FOLKSTON,GA,31537,BOP,,0,2021-09-13
550,DADE COUNTY CORRECTIONAL,MIAMI,FL,33034,IGSA,,0,2021-01-07
551,DAKOTA COUNTY JAIL,DAKOTA CITY,NE,68731,USMS IGA,,21,2025-11-10
552,DALBY CORRECTIONAL INSTITUTE,POST,TX,79356,BOP,,0,2021-01-07
553,DALE CORRECTIONAL FACILITY (VERMONT DEPARTMENT OF,WATERBURY,VT,5671,IGSA,,0,2021-01-07
554,DALE G. HAILE DETENTION CENTER,CALDWELL,ID,83605,IGSA,,0,2025-06-23
555,DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,DALLAS,TX,75202,USMS IGA,,1,2025-11-10
556,DALLAS COUNTY SHERIFFS OFFICE,ADEL,IA,50003,IGSA,,0,2021-01-07
557,DALLAS FIELD OFFICE HOLD ROOM,DALLAS,TX,75247,HOLD,,0,2021-01-07
558,DANBURY FEDERAL CORRECTIONAL INSTITUTE,DANBURY,CT,6811,BOP,,0,2021-01-07
559,DANE COUNTY JAIL,MADISON,WI,53703,IGSA,,0,2021-01-07
560,DAPHNE POLICE DEPARTMENT CORRECTIONAL CENTER,DAPHNE,AL,36526,IGSA,,0,2021-01-07
561,"DAUPHIN COUNTY JAIL, PA",HARRISBURG,PA,17111,Other,,0,2021-01-07
